geometry;Cont_ID;I1;I1_1;I1_1_1;I1_1_2;I1_1_3;I1_2;I1_2_1;I1_2_2;I1_2_3;I2;I2_1;I2_1_1;I2_1_2;I2_1_3;I2_2;I2_2_1;I2_2_1_1;I2_2_1_2;I2_2_1_3;I2_2_2;I2_2_3;I2_2_3_1;I2_2_3_2;I2_2_3_3;I2_2_4;I2_2_4_1;I2_2_4_2;I2_2_4_3;I2_2_1_4;I2_2_1_5;Sample;POP;POPnum;GDP;GDPnum;City;Authority;DPSVI;A_DPSVI;B_Proneness;C_DigitalS;S1_GA;S1_BS;S1_CL;S1_ED;S1_HE;S1_OS;S1_SW;S1_TM;S1_UT;S2_GA;S2_BS;S2_CL;S2_ED;S2_HE;S2_OS;S2_SW;S2_TM;S2_UT;S3_GA;S3_BS;S3_CL;S3_ED;S3_HE;S3_OS;S3_SW;S3_TM;S3_UT;S4_GA;S4_BS;S4_CL;S4_ED;S4_HE;S4_OS;S4_SW;S4_TM;S4_UT;S1;S2;S3;S4;SI_GA;SI_BS;SI_CL;SI_ED;SI_HE;SI_OS;SI_SW;SI_TM;SI_UT;SI
Point (6.12662316246271388 49.61406329221082956);267754d1-908d-427d-8a89-66d0c6de3b7f;2;2;3;2;3;2;1;2;2;2;2;3;1;2;2;2;1;3;2;2;2;2;3;3;2;2;1;4;3;1;1;100.000 - 250.000;3;> 50K;6;Luxembourg;Municipality (city/town);0.354018664206164;3;3;3;2;1;3;1;1;1;3;2;3;3;2;2;2;1;3;1;2;1;1;1;1;1;1;1;1;1;1;4;1;4;4;1;1;1;1;1;2;1;1;2;2;1;4;3;1;1;1;1;1;1
Point (6.97326127765493364 50.94569412303543743);63f1aa2d-f374-462a-b3e6-e490254d0487;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;1; > 1.000.000;6;> 50K;6;Köln, Stadt;Metropolitan Area;0.677460160091134;1;1;1;1;1;1;1;1;1;1;1;1;3;2;1;2;1;3;2;4;1;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;4;3;1;1;1;1;2;1;1;1;2;1;1;3;2;1;1
Point (18.91928759096219537 46.95936279455270324);168107d5-4842-4a67-880d-7cf79fcdaaa3;1;3;2;3;3;1;1;1;1;1;1;1;2;1;1;2;2;1;2;2;1;1;1;1;2;3;1;2;3;1;0; < 50.000;1;10K-20K;2;Dunaujvaros;Municipality (city/town);0.264081350889715;3;3;3;4;4;3;1;1;4;4;4;1;4;4;4;4;3;4;4;3;2;3;4;4;2;3;4;4;3;2;4;4;4;1;1;4;3;1;1;4;4;3;3;4;4;4;2;2;4;4;3;1;4
Point (21.70851328482198994 47.93850849298370775);80bc77e9-4b40-4ec9-8559-622ae5425577;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;500.000 - 1.000.000;5;< 10K;1;Szabolcs-Szatmár-Bereg;County/Province;0.0437090773809524;3;3;3;1;1;1;1;1;1;4;1;1;4;4;4;4;4;4;4;4;4;2;3;3;3;3;3;3;2;3;2;3;3;3;4;4;4;2;3;1;4;3;4;2;2;3;3;4;4;4;2;3;3
Point (-8.62436992584129491 41.13238272802789908);8d1be9c4-c063-46f8-b4a8-0d65ca9cb3ec;3;3;2;2;4;3;3;3;2;4;3;3;4;3;4;3;3;2;3;4;3;2;3;4;3;2;3;4;3;1;0;250.000 - 500.000;4;10K-20K;2;Vila Nova de Gaia;Municipality (city/town);0.475701459029125;2;4;2;1;3;3;1;1;1;1;3;4;4;4;4;3;3;4;3;3;4;3;2;2;2;3;3;3;3;4;4;2;1;1;1;1;1;3;4;2;3;3;1;3;2;2;2;2;2;2;3;4;2
Point (9.95002555174176173 48.39054025995346109);19754030-af77-4e9c-a460-552201086b2c;2;2;3;2;1;1;1;2;2;2;2;3;2;2;2;1;2;1;2;1;3;3;2;4;3;4;3;1;2;1;1;100.000 - 250.000;3;> 50K;6;Ulm;Municipality (city/town);0.336470780201325;3;3;3;4;1;1;1;1;1;1;4;4;3;2;2;2;3;3;2;3;3;4;3;3;4;3;3;3;4;4;4;1;1;1;1;1;4;3;1;4;2;4;2;4;1;1;2;2;2;4;4;4;3
Point (22.43106152135619524 39.65270012763677698);4fcd9a2d-70d4-4790-ad74-4f3234f99086;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;3;1;1;0;100.000 - 250.000;3;10K-20K;2;Larissa;Municipality (city/town);0.188765977945665;3;3;3;3;1;1;1;1;1;1;1;3;4;2;3;2;3;4;3;3;3;3;3;4;4;3;2;2;2;3;4;4;3;1;1;1;1;1;4;2;3;3;2;4;4;3;2;3;2;2;1;4;2
Point (-8.42208302406439202 43.3456093205191948);566e9b99-19ed-45b4-aad7-545e3424bbe0;3;4;4;3;4;3;3;2;4;4;4;4;3;4;4;4;4;4;4;1;4;4;4;4;4;4;3;4;4;4;0;100.000 - 250.000;3;20K-30K;3;A Coruna;Municipality (city/town);0.533559337040955;2;1;2;1;1;1;1;1;3;1;3;3;3;2;3;3;3;4;2;2;2;4;3;4;4;4;4;4;3;4;4;1;1;1;1;1;1;4;4;2;2;4;2;3;1;2;2;2;3;2;3;4;2
Point (28.971316 41.010656);b2a16900-8e0d-4c8e-a80b-21f5e6451a78;4;4;4;4;3;4;4;3;4;4;4;4;3;3;4;4;4;3;4;2;4;4;4;3;4;3;4;3;4;4;0; > 1.000.000;6;10K-20K;2;Istanbul;Municipality (city/town);0.58086867178641;1;1;1;3;1;1;1;4;1;1;3;1;3;3;3;3;3;4;3;3;3;3;3;4;4;4;4;4;3;4;3;3;3;4;4;4;3;1;3;2;3;4;3;3;3;3;3;4;3;3;1;2;3
Point (12.19313941962681902 44.4128096847708278);36ad4182-5cfb-43a2-a815-4bfd3a51c71d;3;4;3;4;3;3;4;1;3;3;3;3;3;3;4;2;2;3;3;4;3;3;2;4;4;4;3;4;2;1;0;100.000 - 250.000;3;30K-40K;4;Ravenna;Municipality (city/town);0.478497755852535;3;4;2;2;3;3;3;1;1;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;3;4;4;4;1;1;4;4;3;3;4;4;4;4;4;4;4;3;4;4;4;4;4
